company,rank,rank_change,revenue,profit,num. of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,Website,Ticker,Market Cap
ADT,541,0,5125.7,-424.2,17500,Business Services,Boca Raton,FL,,no,no,no, ,James D. DeVries,https://www.adt.com,ADT,3282.7
Welltower,542,0,5121.3,1232.4,443,Financials,Toledo,OH,,no,no,yes, ,Shankh Mitra,https://www.welltower.com,WELL,18795.2
Windstream Holdings,543,0,5115.4,-3090,11945,Telecommunications,Little Rock,AR,,no,no,no, ,Anthony W. Thomas,https://www.windstream.com,WINMQ,2.2
Michaels,544,0,5072,272.6,28000,Retailing,Irving,TX,,no,no,yes, ,Ashley Buchanan,https://www.michaels.com,MIK,237.9
Kemper,545,0,5039.2,531.1,8900,Financials,Chicago,IL,,no,no,yes, ,Joseph Lacher Jr.,https://www.kemper.com,KMPR,4377
Hyatt Hotels,546,0,5020,766,55000,"Hotels, Restaurants & Leisure",Chicago,IL,,no,no,yes, ,Mark S. Hoplamazian,https://www.hyatt.com,H,7272
Alexion Pharmaceuticals,547,0,4991.1,2404.3,3082,Health Care,Boston,MA,,no,no,yes, ,Ludwig N. Hantson Ph.D.,https://www.alexion.com,ALXN,19942.4
Resideo Technologies,548,0,4988,36,13000,Materials,Austin,TX,,no,no,yes, ,Jay Geldmacher,https://www.resideo.com,REZI,595
CACI International,549,0,4986.3,265.6,22100,Technology,Arlington,VA,,no,no,yes, ,John S. Mengucci,https://www.caci.com,CACI,6300
Electronic Arts,550,0,4950,1019,9700,Media,Redwood City,CA,,no,no,yes, ,Andrew Wilson,https://www.ea.com,EA,42236
Vulcan Materials,551,0,4929.1,617.7,9173,Materials,Birmingham,AL,,no,no,yes, ,J. Thomas Hill,https://www.vulcanmaterials.com,VMC,14325.2
TreeHouse Foods,552,0,4926.9,-361,10800,"Food, Beverages & Tobacco",Oak Brook,IL,,no,no,no, ,Steven T. Oakland,https://www.treehousefoods.com,THS,2484
Global Payments,553,0,4911.9,430.6,24000,Business Services,Atlanta,GA,,no,no,yes, ,Jeffrey S. Sloan,https://www.globalpaymentsinc.com,GPN,43287.5
Hanover Insurance Group,554,0,4897.4,425.1,4300,Financials,Worcester,MA,,no,no,yes, ,John C. Roche,https://www.hanover.com,THG,3457.4
Camping World Holdings,555,0,4892,-60.6,11508,Retailing,Lincolnshire,IL,,no,no,no, ,Marcus A. Lemonis,https://www.campingworld.com,CWH,502.1
Cornerstone Building Brands,556,0,4889.7,-15.4,20100,Materials,Cary,NC,,no,no,no, ,James S. Metcalf,https://www.cornerstonebuildingbrands.com,CNR,574.9
Yellow,557,0,4871.2,-104,29000,Transportation,Overland Park,KS,,no,no,no, ,Darren D. Hawkins,https://www.yrcw.com,YELL,60.6
CME Group,558,0,4868,2116.5,4360,Financials,Chicago,IL,,no,no,yes, ,Terrence A. Duffy,https://www.cmegroup.com,CME,61984.7
Chewy,559,0,4846.7,-252.4,12000,Retailing,Dania Beach,FL,,no,no,no, ,Sumit Singh,https://www.chewy.com,CHWY,14943.5
Knight-Swift Transportation Holdings,560,0,4844,309.2,23700,Transportation,Phoenix,AZ,,no,no,yes, ,David Jackson,https://knight-swift.com,KNX,7031
Moody&#8217;s,561,0,4829,1422,11081,Business Services,New York,NY,,no,no,yes, ,Robert Fauber,https://www.moodys.com,MCO,39594.4
Coca-Cola Consolidated,562,0,4826.5,11.4,15850,"Food, Beverages & Tobacco",Charlotte,NC,,no,no,yes, ,J. Frank Harrison III,https://www.cokeconsolidated.com,COKE,2402
Carlisle,563,0,4811.6,472.8,14000,Materials,Scottsdale,AZ,,no,no,yes, ,D. Christian Koch,https://www.carlisle.com,CSL,6976.9
Sealed Air,564,0,4791.1,263,16500,Materials,Charlotte,NC,,no,no,yes, ,Edward L. Doheny II,https://www.sealedair.com,SEE,3821.9
A-Mark Precious Metals,565,0,4783.2,2.2,183,Materials,El Segundo,CA,,no,no,yes, ,Gregory N. Roberts,https://www.amark.com,AMRK,86.3
Watsco,566,0,4770.4,246,5800,Wholesalers,Miami,FL,,no,no,yes, ,Albert H. Nahmad,https://www.watsco.com,WSO,6049.8
Taylor Morrison Home,567,0,4762.1,254.7,2300,Engineering & Construction,Scottsdale,AZ,,no,yes,yes, ,Sheryl D. Palmer,https://www.taylormorrison.com,TMHC,1478.9
IAC/InterActiveCorp,568,0,4757.1,431.1,8700,Technology,New York,NY,,no,no,yes, ,Joseph M. Levin,https://www.iac.com,IAC,15191.5
Leggett & Platt,569,0,4752.5,333.8,22000,Household Products,Carthage,MO,,no,no,yes, ,Karl G. Glassman,https://www.leggett.com,LEG,5860
OneMain Holdings,570,0,4749,855,9700,Financials,Evansville,IN,,no,no,yes, ,Douglas H. Shulman,https://www.omf.com,OMF,2604
Schneider National,571,0,4747,147,15650,Transportation,Green Bay,WI,,no,no,yes, ,Mark B. Rourke,https://www.schneider.com,SNDR,3425.5
Martin Marietta Materials,572,0,4739.1,611.9,8846,Materials,Raleigh,NC,,no,no,yes, ,C. Howard Nye,https://www.martinmarietta.com,MLM,11769.9
NortonLifeLock,573,0,4731,31,11900,Technology,Tempe,AZ,,no,no,yes, ,Vincent Pilette,https://www.nortonlifelock.com,NLOK,11233.2
Hasbro,574,0,4720.2,520.5,5600,Household Products,Pawtucket,RI,,no,no,yes, ,Brian D. Goldner,https://www.hasbro.com,HAS,9793.5
Square,575,0,4713.5,375.4,3835,Business Services,San Francisco,CA,,yes,no,yes, ,Jack Dorsey,https://www.squareup.com,SQ,88370
Terex,576,0,4680.3,54.4,9500,Industrials,Westport,CT,,no,no,yes, ,John L. Garrison Jr.,https://www.terex.com,TEX,1015.3
Syneos Health,577,0,4675.8,131.3,24000,Health Care,Morrisville,NC,,no,no,yes, ,Alistair Macdonald,https://www.syneoshealth.com,SYNH,4109.4
FMC,578,0,4661.9,477.4,6400,Chemicals,Philadelphia,PA,,no,no,yes, ,Mark Douglas,https://www.fmc.com,FMC,13645
Boise Cascade,579,0,4643.4,80.9,6010,Wholesalers,Boise,ID,,no,no,yes, ,Nathan R. Jorgensen,https://www.bc.com,BCC,932.1
SS&C Technologies Holdings,580,0,4632.9,438.5,22800,Technology,Windsor,CT,,yes,no,yes, ,William C. Stone,https://www.ssctech.com,SSNC,11203.5
Continental Resources,581,0,4631.9,775.6,1260,Energy,Oklahoma City,OK,,no,no,yes, ,William B. Berry,https://www.clr.com,CLR,2789.4
Peabody Energy,582,0,4623.4,-211.3,6600,Energy,St. Louis,MO,,no,no,no, ,Glenn L. Kellow,https://www.peabodyenergy.com,BTU,281.6
Encompass Health,583,0,4605,358.7,35690,Health Care,Birmingham,AL,,no,no,yes, ,Mark J. Tarr,https://www.encompasshealth.com,EHC,8614
Greif,584,0,4595,171,17000,Materials,Delaware,OH,,no,no,yes, ,Peter G. Watson,https://www.greif.com,GEF,1698.1
Concho Resources,585,0,4592,-705,1453,Energy,Midland,TX,,no,no,no, ,Timothy A. Leach,https://www.conocophillips.com/concho/,,8428.9
Hubbell,586,0,4591,400.9,18800,Industrials,Shelton,CT,,no,no,yes, ,Gerben W. Bakker,https://www.hubbell.com,HUBB,6239.4
CF Industries Holdings,587,0,4590,493.1,2987,Chemicals,Deerfield,IL,,no,no,yes, ,W. Anthony Will,https://www.cfindustries.com,CF,5879.9
KLA,588,0,4568.9,1175.6,10020,Technology,Milpitas,CA,,no,no,yes, ,Richard P. Wallace,https://www.kla.com,KLAC,22534.4
Genesis Healthcare,589,0,4565.8,14.6,55000,Health Care,Kennett Square,PA,,no,no,yes, ,Robert H. Fish,https://www.genesishcc.com,GEN,138.9
Brunswick,590,0,4556.7,-131,12828,Transportation,Mettawa,IL,,no,no,no, ,David M. Foulkes,https://www.brunswick.com,BC,2806.8
KB Home,591,0,4552.7,268.8,2140,Engineering & Construction,Los Angeles,CA,,no,no,yes, ,Jeffrey T. Mezger,https://www.kbhome.com,KBH,1630.8
Globe Life,592,0,4527.5,760.8,3196,Financials,McKinney,TX,,no,no,yes, ,Gary L. Coleman/Larry M. Hutchison,https://www.globelifeinsurance.com,GL,7729.4
Mattel,593,0,4504.6,-213.5,24000,Household Products,El Segundo,CA,,no,no,no, ,Ynon Kreiz,https://www.mattel.com,MAT,3055.9
Ryerson Holding,594,0,4501.6,82.4,4500,Materials,Chicago,IL,,no,no,yes, ,Edward J. Lehner,https://www.ryerson.com,RYI,199.3
Silgan Holdings,595,0,4489.9,193.8,13220,Materials,Stamford,CT,,no,no,yes, ,Anthony J. Allott,https://www.silganholdings.com,SLGN,3214.8
Zebra Technologies,596,0,4485,544,8200,Industrials,Lincolnshire,IL,,no,no,yes, ,Anders Gustafsson,https://www.zebra.com,ZBRA,9916
Intuitive Surgical,597,0,4478.5,1379.3,7326,Health Care,Sunnyvale,CA,,no,no,yes, ,Gary Guthart,https://www.intuitive.com,ISRG,85902
Warner Music Group,598,0,4475,256,5400,Media,New York,NY,,no,no,yes, ,Stephen F. Cooper,https://www.wmg.com,WMG,19638
Conduent,599,0,4467,-1934,67000,Business Services,Florham Park,NJ,,no,no,no, ,Clifford A. Skelton,https://www.conduent.com,CNDT,519.1
Tutor Perini,600,0,4450.8,-387.7,9100,Engineering & Construction,Sylmar,CA,,no,no,no, ,Ronald N. Tutor,https://www.tutorperini.com,TPC,339.2
Juniper Networks,601,0,4445.4,345,9419,Technology,Sunnyvale,CA,,no,no,yes, ,Rami Rahim,https://www.juniper.net,JNPR,6326.3
Noble Energy,602,0,4438,-1512,2282,Energy,Houston,TX,,no,no,no, ,David L. Stover,https://www.nblenergy.com,,2929.6
Vertiv Holdings,603,0,4431.2,-140.8,19800,Industrials,Columbus,OH,,no,no,no, ,Robert J. Johnson,https://www.vertiv.com,VRT,2840.8
Tiffany,604,0,4424,541.1,14100,Retailing,New York,NY,,no,no,yes, ,Anthony Ledru,https://www.investor.tiffany.com,,15694.3
EQT,605,0,4416.5,-1221.7,647,Energy,Pittsburgh,PA,,no,no,no, ,Toby Z. Rice,https://www.eqt.com,EQT,1806.1
UFP Industries,606,0,4416,179.7,12000,Materials,Grand Rapids,MI,,no,no,yes, ,Matthew J. Missad,https://www.ufpi.com,UFPI,2296.8
Diebold Nixdorf,607,0,4408.7,-341.3,22000,Technology,North Canton,OH,,no,no,no, ,Gerrard B. Schmid,https://www.dieboldnixdorf.com,DBD,272.8
Antero Resources,608,0,4408.7,-340.1,547,Energy,Denver,CO,,yes,no,no, ,Paul M. Rady,https://www.anteroresources.com,AR,204.4
Meritor,609,0,4388,291,9100,Motor Vehicles & Parts,Troy,MI,,no,no,yes, ,Chris Villavarayan,https://www.meritor.com,MTOR,979.3
Broadridge Financial Solutions,610,0,4362.2,482.1,11000,Business Services,Lake Success,NY,,no,no,yes, ,Timothy C. Gokey,https://www.broadridge.com,BR,10886.7
Church & Dwight,611,0,4357.7,615.9,4800,Household Products,Ewing,NJ,,no,no,yes, ,Matthew T. Farrell,https://www.churchdwight.com,CHD,15773.9
Marriott Vacations Worldwide,612,0,4355,138,22000,"Hotels, Restaurants & Leisure",Orlando,FL,,no,no,yes, ,Stephen P. Weisz,https://www.marriottvacationsworldwide.com,VAC,2280.3
Edwards Lifesciences,613,0,4348,1046.9,13900,Health Care,Irvine,CA,,no,no,yes, ,Michael A. Mussallem,https://www.edwards.com,EW,39105.8
Colfax,614,0,4326.3,-527.6,15000,Industrials,Annapolis Junction,MD,,no,no,no, ,Matthew L. Trerotola,https://www.colfaxcorp.com,CFX,2339.3
Insperity,615,0,4314.8,151.1,3500,Business Services,Kingwood,TX,,yes,no,yes, ,Paul J. Sarvadi,https://www.insperity.com,NSP,1468.9
American Eagle Outfitters,616,0,4308.2,191.3,27000,Retailing,Pittsburgh,PA,,no,no,yes, ,Jay L. Schottenstein,https://www.aeo-inc.com,AEO,1329.3
Keysight Technologies,617,0,4303,621,13600,Technology,Santa Rosa,CA,,no,no,yes, ,Ronald S. Nersesian,https://www.keysight.com,KEYS,15681.2
JELD-WEN Holding,618,0,4289.8,63,23300,Materials,Charlotte,NC,,no,no,yes, ,Gary S. Michel,https://www.jeld-wen.com,JELD,980.3
Iron Mountain,619,0,4262.6,267.4,25000,Business Services,Boston,MA,,no,no,yes, ,William L. Meaney,https://www.ironmountain.com,IRM,6838.8
Nasdaq,620,0,4262,774,4361,Financials,New York,NY,,no,yes,yes, ,Adena T. Friedman,https://www.nasdaq.com,NDAQ,23370
Gartner,621,0,4245.3,233.3,16724,Technology,Stamford,CT,,no,no,yes, ,Eugene A. Hall,https://www.gartner.com,IT,14427
Sinclair Broadcast Group,622,0,4240,47,11800,Media,Hunt Valley,MD,,no,no,yes, ,Christopher S. Ripley,https://www.sbgi.net,SBGI,1472.5
Ingles Markets,623,0,4202,81.6,18630,Food & Drug Stores,Black Mountain,NC,,no,no,yes, ,James W. Lanning,https://www.ingles-markets.com,IMKTA,732.6
Monster Beverage,624,0,4200.8,1107.8,3092,"Food, Beverages & Tobacco",Corona,CA,,no,no,yes, ,Rodney C. Sacks/Hilton H. Schlosberg,https://www.monsterbevcorp.com,MNST,30205.8
Murphy Oil,625,0,4194,1149.7,822,Energy,El Dorado,AR,,no,no,yes, ,Roger W. Jenkins,https://www.murphyoilcorp.com,MUR,941.4
Vertex Pharmaceuticals,626,0,4162.8,1176.8,3000,Health Care,Boston,MA,,no,no,yes, ,Reshma Kewalramani,https://www.vrtx.com,VRTX,55963
First Republic Bank,627,0,4156.7,930.3,4812,Financials,San Francisco,CA,,yes,no,yes, ,James H. Herbert II,https://www.firstrepublic.com,FRC,14093.5
Bloomin&#8217; Brands,628,0,4139.4,130.6,94000,"Hotels, Restaurants & Leisure",Tampa,FL,,no,no,yes, ,David J. Deno,https://www.bloominbrands.com,BLMN,621.4
Spectrum Brands Holdings,629,0,4138.8,471.9,13000,Household Products,Middleton,WI,,no,no,yes, ,David M. Maura,https://www.spectrumbrands.com,SPB,1669.2
Quad/Graphics,630,0,4137.2,-156.3,19600,Media,Sussex,WI,,no,no,no, ,J. Joel Quadracci,https://www.quad.com,QUAD,136
Flowers Foods,631,0,4124,164.5,9700,"Food, Beverages & Tobacco",Thomasville,GA,,no,no,yes, ,A. Ryals McMullian,https://www.flowersfoods.com,FLO,4341.3
CUNA Mutual Group,632,0,4122.7,219.6,3600,Financials,Madison,WI,,no,no,yes, ,Robert N. Trunzo,https://www.cunamutual.com,,
Allegheny Technologies,633,0,4122.5,257.6,8100,Materials,Pittsburgh,PA,,no,no,yes, ,Robert S. Wetherbee,https://www.atimetals.com,ATI,1076.3
Old Dominion Freight Line,634,0,4109.1,615.5,20105,Transportation,Thomasville,NC,,no,no,yes, ,Greg C. Gantt,https://www.odfl.com,ODFL,15691.6
Landstar System,635,0,4089.6,227.7,1333,Transportation,Jacksonville,FL,,no,no,yes, ,James B. Gattoni,https://www.landstar.com,LSTR,3784.9
American National Group,636,0,4070.1,620.4,4640,Financials,Galveston,TX,,no,no,yes, ,James E. Pozzi,https://www.americannational.com,ANAT,2215
Snap-on,637,0,4067.7,693.5,12800,Industrials,Kenosha,WI,,no,no,yes, ,Nicholas T. Pinchuk,https://www.snapon.com,SNA,5951.1
Brookdale Senior Living,638,0,4057.1,-267.9,48400,Health Care,Brentwood,TN,,no,yes,no, ,Lucinda M. Baier,https://www.brookdale.com,BKD,574.9
Amkor Technology,639,0,4052.7,120.9,29650,Technology,Tempe,AZ,,no,no,yes, ,Geil Rutten,https://www.amkor.com,AMKR,1877.8
Wyndham Destinations,640,0,4043,507,22500,"Hotels, Restaurants & Leisure",Orlando,FL,,no,no,yes, ,Michael D. Brown,https://www.wyndhamdestinations.com,WYND,1894.5
PPD,641,0,4031,47.8,23000,Health Care,Wilmington,NC,,no,no,yes, ,David S. Simmons,https://www.ppdi.com,PPD,6208.2
Dentsply Sirona,642,0,4029.2,262.9,15200,Health Care,Charlotte,NC,,no,no,yes, ,Donald M. Casey Jr.,https://www.dentsplysirona.com,XRAY,8598.5
CNO Financial Group,643,0,4015.8,409.4,3300,Financials,Carmel,IN,,no,no,yes, ,Gary C. Bhojwani,https://www.cnoinc.com,CNO,1795.1
Urban Outfitters,644,0,3983.8,168.1,16800,Retailing,Philadelphia,PA,,yes,no,yes, ,Richard A. Hayne,https://www.urbn.com,URBN,1392.3
Sabre,645,0,3975,158.6,9250,Technology,Southlake,TX,,no,no,yes, ,Sean E. Menke,https://www.sabre.com,SABR,1623.4
Mercury General,646,0,3972.5,320.1,4500,Financials,Los Angeles,CA,,no,no,yes, ,Gabriel Tirador,https://www.mercuryinsurance.com,MCY,2254.2
Diamondback Energy,647,0,3964,240,712,Energy,Midland,TX,,no,no,yes, ,Travis D. Stice,https://www.diamondbackenergy.com,FANG,4147.1
Parsons,648,0,3954.8,120.5,15879,Aerospace & Defense,Centreville,VA,,no,no,yes, ,Charles L. Harrington,https://www.parsons.com,PSN,3217.4
Aaron's,649,0,3947.7,31.5,12100,Retailing,Atlanta,GA,,no,no,yes, ,John W. Robinson III,https://www.aarons.com,AAN,1520.4
Flowserve,650,0,3944.9,253.7,17000,Industrials,Irving,TX,,no,no,yes, ,R. Scott Rowe,https://www.flowserve.com,FLS,3127.2
Carvana,651,0,3939.9,-114.7,7324,Retailing,Tempe,AZ,,yes,no,no, ,Ernest C. Garcia,https://www.carvana.com,CVNA,8480
ASGN,652,0,3923.9,174.7,4300,Business Services,Calabasas,CA,,no,no,yes, ,Theodore S. Hanson,https://www.asgn.com,ASGN,1872
Sally Beauty Holdings,653,0,3876.4,271.6,30050,Retailing,Denton,TX,,no,no,yes, ,Christian A. Brickman,https://www.sallybeautyholdings.com,SBH,943.6
ScanSource,654,0,3873.1,57.6,2700,Wholesalers,Greenville,SC,,yes,no,yes, ,Michael L. Baur,https://www.scansource.com,SCSC,681
Ventas,655,0,3872.8,433,516,Financials,Chicago,IL,,no,yes,yes, ,Debra A. Cafaro,https://www.ventasreit.com,VTR,9992.7
Country Financial,656,0,3868.1,167.3,3839,Financials,Bloomington,IL,,no,no,yes, ,Jim Jacobs,https://www.countryfinancial.com,,
TriNet Group,657,0,3856,212,2900,Business Services,Dublin,CA,,no,no,yes, ,Burton M. Goldfield,https://www.trinet.com,TNET,2589.1
Spirit Airlines,658,0,3830.5,335.3,8938,Transportation,Miramar,FL,,no,no,yes, ,Edward M. Christie III,https://www.spirit.com,SAVE,2715
Comerica,659,0,3817,1198,7708,Financials,Dallas,TX,,no,no,yes, ,Curtis C. Farmer,https://www.comerica.com,CMA,4117.7
Lennox International,660,0,3807.2,408.7,11200,Industrials,Richardson,TX,,no,no,yes, ,Todd M. Bluedorn,https://www.lennoxinternational.com,LII,7016.9
Timken,661,0,3789.9,362.1,18829,Industrials,North Canton,OH,,no,no,yes, ,Richard G. Kyle,https://www.timken.com,TKR,2451.8
Paychex,662,0,3772.5,1034.4,15450,Business Services,Rochester,NY,,no,no,yes, ,Martin Mucci,https://www.paychex.com,PAYX,32212
Amerco,663,0,3768.7,370.9,21900,Transportation,Reno,NV,,no,no,yes, ,Edward J. Shoen,https://www.amerco.com,UHAL,5697
Worthington Industries,664,0,3759.6,153.5,12000,Materials,Columbus,OH,,no,no,yes, ,B. Andrew Rose,https://www.worthingtonindustries.com,WOR,1433.2
Lamb Weston Holdings,665,0,3756.5,478.6,7600,"Food, Beverages & Tobacco",Eagle,ID,,no,no,yes, ,Thomas P. Werner,https://www.lambweston.com,LW,8341.9
Laureate Education,666,0,3752.1,938.5,41000,Business Services,Baltimore,MD,,no,no,yes, ,Eilif Serck-Hanssen,https://www.laureate.net,LAUR,2203.3
Penn Mutual Life Insurance,667,0,3705.1,396,3318,Financials,Horsham,PA,,no,yes,yes, ,Eileen C. McDonnell,https://www.pennmutual.com,,
iHeartMedia,668,0,3683.5,,11400,Media,San Antonio,TX,,no,no,no, ,Robert W. Pittman,https://www.iheartmedia.com,IHRT,1073.8
Brink's,669,0,3683.2,29,64300,Business Services,Richmond,VA,,no,no,yes, ,Douglas A. Pertz,https://www.brinks.com,BCO,2625.2
Sentry Insurance Group,670,0,3680.8,324.3,4217,Financials,Stevens Point,WI,,no,no,yes, ,Peter G. McPartland,https://www.sentry.com,,
Acuity Brands,671,0,3672.7,330.4,12000,Industrials,Atlanta,GA,,no,no,yes, ,Neil M. Ashe,https://www.acuitybrands.com,AYI,3393.8
Hub Group,672,0,3668.1,107.2,5000,Transportation,Oak Brook,IL,,no,no,yes, ,David P. Yeager,https://www.hubgroup.com,HUBG,1557.3
Meritage Homes,673,0,3666.9,249.7,1510,Engineering & Construction,Scottsdale,AZ,,no,no,yes, ,Phillipe Lord,https://www.meritagehomes.com,MTH,1372.7
MRC Global,674,0,3662,39,3345,Energy,Houston,TX,,no,no,yes, ,Robert J. Saltiel Jr.,https://www.mrcglobal.com,MRC,349.6
Alliant Energy,675,0,3647.7,557.2,3597,Energy,Madison,WI,,no,no,yes, ,John O. Larsen,https://www.alliantenergy.com,LNT,11832.5
Workday,676,0,3627.2,-480.7,12200,Technology,Pleasanton,CA,,yes,no,no, ,Aneel Bhusri,https://www.workday.com,WDAY,54430
BMC Stock Holdings,677,0,3626.6,109.8,10200,Wholesalers,Raleigh,NC,,no,no,yes, ,David E. Flitman,https://www.buildwithbmc.com,BMCH,1183.3
Abercrombie & Fitch,678,0,3623.1,39.4,26000,Retailing,New Albany,OH,,no,yes,yes, ,Fran Horowitz,https://www.abercrombie.com,ANF,559.9
Domino's Pizza,679,0,3618.8,400.7,13100,"Hotels, Restaurants & Leisure",Ann Arbor,MI,,no,no,yes, ,Richard E. Allison,https://www.dominos.com/index.intl.html,DPZ,14933
Lyft,680,0,3616,-2602.2,5683,Technology,San Francisco,CA,,yes,no,no, ,Logan Green,https://ww.lyft.com,LYFT,8233.3
Meredith,681,0,3611.9,46.3,5615,Media,Des Moines,IA,,no,no,yes, ,Thomas H. Harty,https://www.meredith.com,MDP,554.1
American Water Works,682,0,3610,621,6800,Energy,Camden,NJ,,no,no,yes, ,Walter J. Lynch,https://www.amwater.com,AWK,21642.7
Albemarle,683,0,3589.4,533.2,6000,Chemicals,Charlotte,NC,,no,no,yes, ,,https://www.albemarle.com,ALB,5993.2
Ciena,684,0,3572.1,253.4,6383,Technology,Hanover,MD,,no,no,yes, ,Gary B. Smith,https://www.ciena.com,CIEN,8168
Barnes & Noble,685,0,3552.7,3.8,15538,Retailing,New York,NY,,no,no,yes, ,James Daunt,https://www.barnesandnobleinc.com,,
Weis Markets,686,0,3543.3,68,23000,Food & Drug Stores,Sunbury,PA,,no,no,yes, ,Jonathan H. Weis,https://www.weismarkets.com,WMK,1279
Illumina,687,0,3543,1002,7700,Technology,San Diego,CA,,no,no,yes, ,Francis deSouza,https://www.illumina.com,ILMN,43917
SVB Financial Group,688,0,3530.9,1136.9,3564,Financials,Santa Clara,CA,,no,no,yes, ,Gregory Becker,https://www.svb.com,SIVB,12272
Carter's,689,0,3519.3,263.8,20300,Apparel,Atlanta,GA,,no,no,yes, ,Michael D. Casey,https://www.carters.com,CRI,2887.4
Stifel Financial,690,0,3515,448.4,8205,Financials,St. Louis,MO,,no,no,yes, ,Ronald J. Kruszewski,https://www.stifel.com,SF,2870.3
Mednax,691,0,3513.5,-1497.7,9480,Health Care,Sunrise,FL,,yes,no,no, ,Mark S. Ordan,https://www.mednax.com,MD,981
Equifax,692,0,3507.6,-398.8,11200,Business Services,Atlanta,GA,,no,no,no, ,Mark W. Begor,https://www.equifax.com,EFX,14569.4
Kar Auction Services,693,0,3505.5,188.5,13311,Wholesalers,Carmel,IN,,no,no,yes, ,James P. Hallett,https://www.karauctionservices.com,KAR,1546.4
Ashland Global Holdings,694,0,3505,505,4700,Chemicals,Covington,KY,,no,no,yes, ,Guillermo Novo,https://www.ashland.com,ASH,3016.6
Medical Mutual of Ohio,695,0,3502.7,83.7,2801,Financials,Cleveland,OH,,no,no,yes, ,Richard A. Chiricosta,https://www.medmutual.com,,
Sprague Resources,696,0,3502.4,31.3,770,Energy,Portsmouth,NH,,no,no,yes, ,David C. Glendon,https://www.spragueenergy.com,SRLP,299.1
Super Micro Computer,697,0,3500.4,71.9,3670,Technology,San Jose,CA,,yes,no,yes, ,Charles Liang,https://www.supermicro.com,SMCI,1090.8
Designer Brands,698,0,3492.7,94.5,16100,Retailing,Columbus,OH,,no,no,yes, ,Roger L. Rawlins,https://www.designerbrands.com,DBI,357.3
Pitney Bowes,699,0,3477.7,194.6,11000,Technology,Stamford,CT,,no,no,yes, ,Marc B. Lautenbach,https://www.pitneybowes.com,PBI,349.6
Applied Industrial Technologies,700,0,3472.7,144,6650,Wholesalers,Cleveland,OH,,no,no,yes, ,Neil A. Schrimsher,https://www.applied.com,AIT,1768.4
Pinnacle West Capital,701,0,3471.2,538.3,6210,Energy,Phoenix,AZ,,no,no,yes, ,Jeffrey B Guldner,https://www.pinnaclewest.com,PNW,8521.8
American Equity Investment Life Holding,702,0,3464.3,246.1,608,Financials,West Des Moines,IA,,no,no,yes, ,Anant Bhalla,https://www.american-equity.com,AEL,1716.3
ServiceNow,703,0,3460.4,626.7,10371,Technology,Santa Clara,CA,,no,no,yes, ,William R. McDermott,https://www.servicenow.com,NOW,105782
Twitter,704,0,3459.3,1465.7,4900,Technology,San Francisco,CA,,yes,no,yes, ,Jack Dorsey,https://www.twitter.com,TWTR,35536
Calumet Specialty Products Partners,705,0,3452.6,-43.6,1500,Energy,Indianapolis,IN,,no,no,no, ,Stephen P. Mawer,https://www.calumetspecialty.com,CLMT,81.7
Steelcase,706,0,3443.2,126,12700,Household Products,Grand Rapids,MI,,no,no,yes, ,James P. Keane,https://www.steelcase.com,SCS,1548
Sanderson Farms,707,0,3440.3,53.3,17055,"Food, Beverages & Tobacco",Laurel,MS,,no,no,yes, ,Joe F. Sanderson Jr.,https://www.sandersonfarms.com,SAFM,2742.4
WABCO Holdings,708,0,3421.4,245.8,13911,Motor Vehicles & Parts,Auburn Hills,MI,,no,no,yes, ,Jon Morrison,https://www.wabco-auto.com,,6924.1
Clean Harbors,709,0,3412.2,97.7,14400,Business Services,Norwell,MA,,yes,no,yes, ,Alan S. McKim,https://www.cleanharbors.com,CLH,2866.3
Puget Energy,710,0,3401.1,210.7,3130,Energy,Bellevue,WA,,no,yes,yes, ,Mary E. Kipp,https://www.pugetenergy.com,,
Scientific Games,711,0,3400,-130,9800,"Hotels, Restaurants & Leisure",Las Vegas,NV,,no,no,no, ,Barry L. Cottle,https://www.scientificgames.com,SGMS,910.5
Granite Construction,712,0,3389.8,-105.4,4200,Engineering & Construction,Watsonville,CA,,no,no,no, ,Kyle T. Larkin,https://www.graniteconstruction.com,GVA,709.5
Carlyle Group,713,0,3377,380.9,1775,Financials,Washington,DC,,no,no,yes, ,Kewsong Lee,https://www.carlyle.com,CG,7539.2
Skyworks Solutions,714,0,3376.8,853.6,9000,Technology,Irvine,CA,,no,no,yes, ,Liam K. Griffin,https://www.skyworksinc.com,SWKS,15155.5
Aleris,715,0,3375.9,-11.8,5600,Materials,Cleveland,OH,,no,no,no, ,Sean M. Stack,https://www.aleris.com,,
Triple-S Management,716,0,3375.6,92.9,3992,Health Care,San Juan,PR,,no,no,yes, ,Roberto Garcia-Rodriguez,https://www.triplesmanagement.com,GTS,345
Hexion,717,0,3374,,4000,Chemicals,Columbus,OH,,no,no,no, ,Craig Rogerson,https://www.hexion.com,,
Hologic,718,0,3367.3,-203.6,6478,Health Care,Marlborough,MA,,no,no,no, ,Stephen P. MacMillan,https://www.hologic.com,HOLX,9270.9
Triumph Group,719,0,3364.9,-321.8,10776,Aerospace & Defense,Berwyn,PA,,no,no,no, ,Daniel J. Crowley,https://www.triumphgroup.com,TGI,350.5
